"o","d","all","bicycle","foot","car_driver","train"
"E02003012","E02003107",120,9,8,85,0
"E02003012","E02003108",24,1,2,20,0
"E02003012","E02006887",167,5,5,82,8
"E02003012","E02006888",21,1,1,12,0
"E02003012","E02006889",26,0,0,23,0
"E02003013","E02003012",103,5,19,52,0
"E02003013","E02003013",318,7,165,112,0
"E02003013","E02003014",100,9,4,72,0
"E02003013","E02003015",419,17,192,143,1
"E02003013","E02003017",141,4,42,70,0
"E02003013","E02003019",131,10,3,92,0
"E02003013","E02003020",85,1,18,40,0
"E02003013","E02003021",21,2,4,10,0
"E02003013","E02003022",33,2,3,16,0
"E02003013","E02003024",28,1,3,19,0
"E02003013","E02003025",48,2,2,34,0
"E02003013","E02003026",49,3,3,29,0
"E02003013","E02003027",55,5,6,31,0
"E02003013","E02003028",50,3,5,23,0
"E02003013","E02003031",41,0,3,27,0
"E02003013","E02003033",36,2,1,18,1
"E02003013","E02003034",39,3,6,23,0
"E02003013","E02003036",87,7,5,34,0
"E02003013","E02003037",39,3,2,23,0
"E02003013","E02003040",36,0,4,26,0
"E02003013","E02003041",38,3,2,24,0
"E02003013","E02003043",362,22,26,158,0
"E02003013","E02003046",23,0,3,18,0
"E02003013","E02003047",29,2,6,13,0
"E02003013","E02003050",23,0,0,14,0
"E02003013","E02003054",21,0,2,15,0
"E02003013","E02003056",22,1,1,16,0
"E02003013","E02003068",47,3,1,35,1
"E02003013","E02003070",30,0,3,23,0
"E02003013","E02003091",34,1,1,27,0
"E02003013","E02003093",27,2,1,18,0
"E02003013","E02003094",332,16,7,206,0
"E02003013","E02003098",72,3,0,57,0
"E02003013","E02003100",130,5,2,93,0
"E02003013","E02003106",213,15,22,134,0
"E02003013","E02003107",182,17,41,102,0
"E02003013","E02003108",31,0,1,27,0
"E02003013","E02003110",21,1,0,17,0
"E02003013","E02006887",154,8,5,84,3
"E02003013","E02006888",30,2,0,16,0
"E02003013","E02006889",35,1,1,30,0
"E02003014","E02003012",55,1,8,19,0
"E02003014","E02003013",27,0,0,17,0
"E02003014","E02003014",414,35,139,185,0
"E02003014","E02003015",56,0,2,35,0
"E02003014","E02003017",57,2,4,41,0
"E02003014","E02003018",31,0,5,21,0
"E02003014","E02003019",434,41,73,260,0
"E02003014","E02003020",30,1,2,17,0
"E02003014","E02003026",71,1,1,44,0
"E02003014","E02003027",29,0,1,20,0
"E02003014","E02003028",20,0,1,9,0
"E02003014","E02003033",21,3,0,9,0
"E02003014","E02003036",36,0,3,14,0
"E02003014","E02003037",21,2,0,11,1
"E02003014","E02003040",23,0,2,16,0
"E02003014","E02003041",23,0,0,19,0
"E02003014","E02003043",195,7,12,77,2
"E02003014","E02003050",28,0,3,14,0
"E02003014","E02003052",23,2,1,18,0
"E02003014","E02003068",46,5,3,36,0
"E02003014","E02003070",46,10,1,27,0
"E02003014","E02003094",261,9,2,152,0
"E02003014","E02003098",29,0,1,23,0
"E02003014","E02003100",53,0,2,34,0
"E02003014","E02003106",48,2,0,36,0
"E02003014","E02003107",42,1,0,33,0
"E02003014","E02006887",76,4,3,31,2
"E02003014","E02006889",25,0,1,21,0
"E02003015","E02003013",40,3,12,21,0
"E02003015","E02003014",52,0,2,43,0
"E02003015","E02003015",240,18,142,61,0
"E02003015","E02003016",29,2,12,12,0
"E02003015","E02003017",50,6,8,28,1
"E02003015","E02003019",30,1,1,26,0
"E02003015","E02003020",23,2,3,16,0
"E02003015","E02003022",38,2,7,19,0
"E02003015","E02003025",26,2,3,19,0
"E02003015","E02003027",56,3,14,32,0
"E02003015","E02003028",28,2,4,16,0
"E02003015","E02003031",23,6,3,12,0
"E02003015","E02003033",20,5,3,8,0
"E02003015","E02003034",34,6,4,17,1
"E02003015","E02003036",38,2,6,9,0
"E02003015","E02003037",23,1,0,17,0
"E02003015","E02003041",27,4,4,16,0
"E02003015","E02003043",296,40,33,104,2
"E02003015","E02003094",87,4,2,56,0
"E02003015","E02003098",42,0,0,32,0
"E02003015","E02003100",86,10,0,52,0
"E02003015","E02003106",147,19,21,73,1
"E02003015","E02003107",99,13,18,49,0
"E02003015","E02006887",99,15,5,48,2
"E02003016","E02003013",34,2,8,17,1
"E02003016","E02003014",40,3,1,24,0
"E02003016","E02003015",210,14,96,76,0
"E02003016","E02003016",119,7,65,30,2
"E02003016","E02003017",31,1,5,22,0
"E02003016","E02003019",57,0,0,47,0
"E02003016","E02003021",26,0,13,10,0
"E02003016","E02003022",40,5,11,17,0
"E02003016","E02003024",35,2,1,23,0
"E02003016","E02003025",56,3,10,34,0
"E02003016","E02003026",23,1,9,7,0
"E02003016","E02003027",76,3,15,46,0
"E02003016","E02003028",28,2,2,16,0
"E02003016","E02003031",36,2,5,15,0
"E02003016","E02003034",63,9,6,33,0
"E02003016","E02003036",68,5,5,23,1
"E02003016","E02003037",28,5,2,15,0
"E02003016","E02003041",30,4,0,19,0
"E02003016","E02003043",373,51,29,134,7
"E02003016","E02003050",29,1,3,17,1
"E02003016","E02003091",21,1,1,16,0
"E02003016","E02003094",116,5,0,60,0
"E02003016","E02003098",81,6,0,52,0
"E02003016","E02003100",123,12,4,64,0
"E02003016","E02003106",280,44,81,115,0
"E02003016","E02003107",141,17,34,68,0
"E02003016","E02003108",30,2,0,24,0
"E02003016","E02003117",22,1,9,9,0
"E02003016","E02006887",161,8,23,52,10
"E02003016","E02006889",34,2,2,20,1
"E02003017","E02003013",28,0,6,19,0
"E02003017","E02003014",29,1,0,25,0
"E02003017","E02003015",93,8,26,52,0
"E02003017","E02003017",147,8,70,60,1
"E02003017","E02003019",29,3,0,21,1
"E02003017","E02003020",35,2,15,18,0
"E02003017","E02003022",24,0,9,12,0
"E02003017","E02003026",21,3,3,12,1
"E02003017","E02003028",43,6,10,24,0
"E02003017","E02003033",32,2,7,19,0
"E02003017","E02003034",29,2,4,17,0
"E02003017","E02003036",54,12,6,20,1
"E02003017","E02003037",64,4,3,44,0
"E02003017","E02003041",43,2,4,32,0
"E02003017","E02003043",402,61,27,191,2
"E02003017","E02003094",62,1,1,42,0
"E02003017","E02003098",28,3,0,24,0
"E02003017","E02003100",59,10,1,43,1
"E02003017","E02003106",149,36,2,97,0
"E02003017","E02003107",53,3,1,44,0
"E02003017","E02003108",26,0,0,25,0
"E02003017","E02006887",140,20,13,57,2
"E02003018","E02003012",26,1,5,16,0
"E02003018","E02003013",21,3,0,15,0
"E02003018","E02003014",113,5,11,78,1
"E02003018","E02003015",71,5,1,50,1
"E02003018","E02003017",64,3,9,45,0
"E02003018","E02003018",67,0,39,24,1
"E02003018","E02003019",193,17,12,123,3
"E02003018","E02003020",49,1,6,30,0
"E02003018","E02003026",95,1,25,51,0
"E02003018","E02003027",26,1,2,17,0
"E02003018","E02003028",38,3,4,24,0
"E02003018","E02003031",20,1,4,11,1
"E02003018","E02003033",40,3,2,28,0
"E02003018","E02003034",26,2,2,14,1
"E02003018","E02003036",35,1,1,14,0
"E02003018","E02003037",45,2,2,28,2
"E02003018","E02003041",35,2,4,26,0
"E02003018","E02003043",278,25,7,132,7
"E02003018","E02003050",20,0,3,14,0
"E02003018","E02003068",38,2,0,30,0
"E02003018","E02003070",26,1,0,22,0
"E02003018","E02003094",116,6,0,74,0
"E02003018","E02003098",21,0,0,19,0
"E02003018","E02003100",40,2,0,35,0
"E02003018","E02003106",66,6,1,53,0
"E02003018","E02003107",28,1,0,23,0
"E02003018","E02006887",93,2,3,52,3
"E02003019","E02003012",51,3,2,33,0
"E02003019","E02003013",31,0,0,29,0
"E02003019","E02003014",396,30,54,254,0
"E02003019","E02003015",60,4,1,42,0
"E02003019","E02003017",58,1,0,45,0
"E02003019","E02003018",30,0,3,22,0
"E02003019","E02003019",990,72,331,493,3
"E02003019","E02003020",36,2,0,25,0
"E02003019","E02003026",64,2,1,35,1
"E02003019","E02003027",20,0,0,18,0
"E02003019","E02003028",35,3,0,17,1
"E02003019","E02003033",30,1,2,14,5
"E02003019","E02003034",29,1,1,17,3
"E02003019","E02003036",71,6,3,16,4
"E02003019","E02003037",56,4,0,29,10
"E02003019","E02003041",31,2,1,19,0
"E02003019","E02003043",346,21,15,121,30
"E02003019","E02003046",23,0,2,14,1
"E02003019","E02003047",32,2,2,23,0
"E02003019","E02003050",45,3,2,35,0
"E02003019","E02003052",28,1,0,23,0
"E02003019","E02003057",21,1,1,16,0
"E02003019","E02003059",20,0,4,11,0
"E02003019","E02003065",31,3,1,22,0
"E02003019","E02003068",105,14,1,78,0
"E02003019","E02003070",69,11,1,46,0
"E02003019","E02003091",24,0,1,20,0
"E02003019","E02003093",21,1,0,16,0
"E02003019","E02003094",229,3,4,163,1
"E02003019","E02003098",24,0,0,20,0
"E02003019","E02003100",71,4,0,62,0
"E02003019","E02003106",72,3,1,58,0
"E02003019","E02003107",50,1,0,38,1
"E02003019","E02006887",163,12,9,63,10
"E02003019","E02006889",35,3,1,23,3
"E02003020","E02003013",30,0,6,20,0
"E02003020","E02003014",21,0,0,21,0
"E02003020","E02003015",72,10,5,47,0
"E02003020","E02003017",94,1,29,56,1
"E02003020","E02003019",33,1,2,26,0
"E02003020","E02003020",92,2,42,44,0
"E02003020","E02003026",42,2,10,28,0
"E02003020","E02003027",20,0,2,16,0
"E02003020","E02003028",34,0,8,21,0
"E02003020","E02003033",38,1,1,32,0
"E02003020","E02003034",26,1,1,23,0
"E02003020","E02003036",39,3,0,30,0
"E02003020","E02003037",61,3,6,44,0
"E02003020","E02003041",47,5,2,37,0
"E02003020","E02003043",395,52,27,216,1
"E02003020","E02003068",22,3,0,19,0
"E02003020","E02003094",71,2,0,51,0
"E02003020","E02003098",32,4,0,26,0
"E02003020","E02003100",50,0,0,45,0
"E02003020","E02003106",127,17,0,97,0
"E02003020","E02003107",40,2,2,32,0
"E02003020","E02006887",155,23,4,81,7
"E02003020","E02006889",21,0,1,18,0
"E02003021","E02003013",29,4,7,15,0
"E02003021","E02003014",30,2,0,24,0
"E02003021","E02003015",137,18,60,49,0
"E02003021","E02003016",45,3,23,16,0
"E02003021","E02003017",30,2,5,17,0
"E02003021","E02003019",36,3,4,27,0
"E02003021","E02003021",65,5,30,26,0
"E02003021","E02003022",38,2,19,16,0
"E02003021","E02003024",35,4,1,25,0
"E02003021","E02003025",50,5,18,18,0
"E02003021","E02003027",104,7,59,28,0
"E02003021","E02003028",40,4,7,24,0
"E02003021","E02003031",64,9,17,24,0
"E02003021","E02003033",45,10,5,22,0
"E02003021","E02003034",72,11,18,32,0
"E02003021","E02003036",88,10,20,21,0
"E02003021","E02003037",63,13,9,34,0
"E02003021","E02003041",34,5,8,16,0
"E02003021","E02003043",502,109,85,145,1
"E02003021","E02003047",21,6,1,11,0
"E02003021","E02003050",32,10,3,14,0
"E02003021","E02003068",21,0,0,19,0
"E02003021","E02003094",83,1,0,41,0
"E02003021","E02003098",64,5,0,42,0
"E02003021","E02003100",93,9,1,51,0
"E02003021","E02003106",227,48,24,111,0
"E02003021","E02003107",102,15,21,48,0
"E02003021","E02006887",213,44,34,64,1
"E02003021","E02006888",21,4,0,15,0
"E02003021","E02006889",29,4,1,17,0
"E02003022","E02003013",25,5,3,16,0
"E02003022","E02003014",23,0,1,20,0
"E02003022","E02003015",110,19,30,55,0
"E02003022","E02003017",85,4,34,41,0
"E02003022","E02003020",20,1,5,14,0
"E02003022","E02003022",66,4,28,29,0
"E02003022","E02003027",40,2,9,27,0
"E02003022","E02003028",57,2,29,20,0
"E02003022","E02003031",22,2,4,13,0
"E02003022","E02003033",32,2,3,23,0
"E02003022","E02003034",39,8,5,25,0
"E02003022","E02003036",51,4,10,24,1
"E02003022","E02003037",54,10,4,33,0
"E02003022","E02003041",43,6,0,33,0
"E02003022","E02003043",389,61,52,185,0
"E02003022","E02003050",21,1,1,13,0
"E02003022","E02003094",32,1,0,25,0
"E02003022","E02003098",21,1,1,19,0
"E02003022","E02003100",62,10,0,42,1
"E02003022","E02003106",135,31,6,91,0
"E02003022","E02003107",40,2,1,32,0
"E02003022","E02006887",165,38,16,83,1
"E02003023","E02003015",40,2,3,29,0
"E02003023","E02003019",21,0,0,15,0
"E02003023","E02003023",86,2,51,28,0
"E02003023","E02003024",127,7,51,59,0
"E02003023","E02003025",86,4,15,49,0
"E02003023","E02003030",33,4,17,12,0
"E02003023","E02003032",39,1,11,24,0
"E02003023","E02003034",58,7,3,31,0
"E02003023","E02003036",53,5,4,18,0
"E02003023","E02003037",22,1,1,14,0
"E02003023","E02003043",266,36,16,121,1
"E02003023","E02003046",20,0,0,18,0
"E02003023","E02003094",44,0,0,30,0
"E02003023","E02003098",29,1,0,26,0
"E02003023","E02003100",43,3,2,34,0
"E02003023","E02003106",284,32,77,136,0
"E02003023","E02003107",46,3,1,34,0
"E02003023","E02003108",37,1,0,28,0
"E02003023","E02003111",28,2,3,20,0
"E02003023","E02003114",31,1,3,19,0
"E02003023","E02003115",31,2,2,20,0
"E02003023","E02003117",20,2,0,17,0
"E02003023","E02006887",133,17,7,68,2
"E02003023","E02006888",27,2,2,16,0
"E02003023","E02006889",25,0,0,22,0
"E02003024","E02003014",20,1,0,14,1
"E02003024","E02003015",44,3,1,38,0
"E02003024","E02003019",36,1,0,31,0
"E02003024","E02003023",31,2,13,14,0
"E02003024","E02003024",306,18,184,84,0
"E02003024","E02003025",67,5,6,35,0
"E02003024","E02003027",26,4,1,14,0
"E02003024","E02003029",21,1,8,11,0
"E02003024","E02003030",31,0,6,20,0
"E02003024","E02003032",60,4,22,31,0
"E02003024","E02003034",44,8,0,22,0
"E02003024","E02003036",81,8,4,23,0
"E02003024","E02003040",31,0,1,29,0
"E02003024","E02003043",299,49,13,114,0
"E02003024","E02003046",26,3,3,16,0
"E02003024","E02003049",27,3,0,18,0
"E02003024","E02003050",30,4,3,13,0
"E02003024","E02003054",23,0,0,17,0
"E02003024","E02003094",60,0,0,47,0
"E02003024","E02003095",21,2,1,15,0
"E02003024","E02003098",55,1,0,50,1
"E02003024","E02003100",63,5,1,49,0
"E02003024","E02003106",297,33,26,176,0
"E02003024","E02003107",48,3,0,38,0
"E02003024","E02003108",57,2,3,41,0
"E02003024","E02003110",32,2,2,22,0
"E02003024","E02003111",42,1,10,29,0
"E02003024","E02003114",46,4,12,24,0
"E02003024","E02003115",49,3,6,35,0
"E02003024","E02003117",28,4,4,16,0
"E02003024","E02006887",213,32,9,103,0
"E02003024","E02006888",29,4,3,16,0
"E02003024","E02006889",55,3,1,40,0
"E02003024","E02006890",20,2,3,12,0
"E02003025","E02003013",25,0,0,21,0
"E02003025","E02003014",25,1,0,22,0
"E02003025","E02003015",87,6,16,47,0
"E02003025","E02003016",37,0,12,20,0
"E02003025","E02003019",39,2,0,31,0
"E02003025","E02003021",21,1,3,8,0
"E02003025","E02003022",22,1,2,12,0
"E02003025","E02003024",41,4,3,19,0
"E02003025","E02003025",180,9,85,57,0
"E02003025","E02003027",61,6,15,23,0
"E02003025","E02003031",44,2,9,27,0
"E02003025","E02003034",126,22,33,49,0
"E02003025","E02003036",58,8,10,14,0
"E02003025","E02003040",21,1,4,14,0
"E02003025","E02003041",21,0,2,11,0
"E02003025","E02003043",278,43,34,104,2
"E02003025","E02003050",34,6,2,15,0
"E02003025","E02003094",80,1,1,55,0
"E02003025","E02003098",47,0,0,35,0
"E02003025","E02003100",62,3,1,45,0
"E02003025","E02003106",157,28,27,78,0
"E02003025","E02003107",67,3,5,48,0
"E02003025","E02003108",29,1,2,23,0
"E02003025","E02006887",125,8,12,61,0
"E02003025","E02006888",40,1,8,26,0
"E02003025","E02006889",51,2,0,33,0
"E02003026","E02003013",26,3,0,20,0
"E02003026","E02003014",30,1,0,28,0
"E02003026","E02003015",87,15,1,66,1
"E02003026","E02003017",58,0,8,46,0
"E02003026","E02003019",49,1,0,47,0
"E02003026","E02003020",43,3,8,29,0
"E02003026","E02003026",101,4,38,44,1
"E02003026","E02003027",23,1,0,19,0
"E02003026","E02003028",60,5,11,39,0
"E02003026","E02003031",40,4,2,32,0
"E02003026","E02003033",50,4,7,35,1
"E02003026","E02003034",47,5,2,29,0
"E02003026","E02003036",52,8,6,28,0
"E02003026","E02003037",102,8,16,59,4
"E02003026","E02003041",101,7,7,76,1
"E02003026","E02003043",558,56,94,272,5
"E02003026","E02003047",28,1,4,22,0
"E02003026","E02003050",31,1,4,23,1
"E02003026","E02003068",26,1,0,25,0
"E02003026","E02003094",49,3,1,35,0
"E02003026","E02003098",23,1,0,21,0
"E02003026","E02003100",51,4,0,43,0
"E02003026","E02003106",131,17,0,104,1
"E02003026","E02003107",25,0,1,23,0
"E02003026","E02006887",220,15,21,124,12
"E02003027","E02003012",26,4,0,19,0
"E02003027","E02003013",21,3,1,14,0
"E02003027","E02003014",27,0,1,18,1
"E02003027","E02003015",161,24,62,63,0
"E02003027","E02003016",25,4,3,16,0
"E02003027","E02003017",46,11,9,24,0
"E02003027","E02003019",37,3,2,29,0
"E02003027","E02003020",22,4,3,13,0
"E02003027","E02003021",34,0,18,16,0
"E02003027","E02003022",27,1,14,11,0
"E02003027","E02003024",60,12,2,40,0
"E02003027","E02003025",53,10,25,17,0
"E02003027","E02003026",21,5,2,11,0
"E02003027","E02003027",272,26,183,48,2
"E02003027","E02003028",59,13,23,18,1
"E02003027","E02003031",178,16,98,52,0
"E02003027","E02003033",93,19,28,40,0
"E02003027","E02003034",188,48,60,57,1
"E02003027","E02003036",165,27,75,31,0
"E02003027","E02003037",125,25,33,57,1
"E02003027","E02003041",70,12,8,37,0
"E02003027","E02003043",1166,311,357,262,6
"E02003027","E02003046",37,10,2,17,2
"E02003027","E02003047",37,12,5,16,0
"E02003027","E02003050",47,11,3,22,0
"E02003027","E02003064",24,0,1,18,0
"E02003027","E02003068",30,4,0,24,0
"E02003027","E02003070",24,1,1,19,1
"E02003027","E02003090",29,3,1,22,0
"E02003027","E02003091",26,0,2,22,0
"E02003027","E02003094",92,4,2,54,0
"E02003027","E02003098",79,7,0,51,0
"E02003027","E02003100",144,26,2,77,1
"E02003027","E02003106",372,99,21,174,4
"E02003027","E02003107",95,24,3,50,0
"E02003027","E02003108",38,1,0,35,1
"E02003027","E02003110",25,0,0,22,0
"E02003027","E02003117",25,1,3,17,0
"E02003027","E02006887",409,100,99,112,7
"E02003027","E02006888",44,9,6,15,5
"E02003027","E02006889",50,3,7,35,1
"E02003028","E02003013",20,2,3,14,0
"E02003028","E02003014",25,1,0,23,0
"E02003028","E02003015",101,19,19,55,0
"E02003028","E02003017",54,2,24,21,0
"E02003028","E02003019",28,1,1,24,0
"E02003028","E02003020",30,1,10,17,0
"E02003028","E02003022",23,3,13,7,0
"E02003028","E02003024",29,1,2,23,0
"E02003028","E02003025",25,6,3,14,0
"E02003028","E02003026",22,4,6,12,0
"E02003028","E02003027",43,3,17,22,0
"E02003028","E02003028",159,8,111,33,1
"E02003028","E02003031",79,15,21,38,0
"E02003028","E02003033",99,7,49,38,0
"E02003028","E02003034",63,19,13,21,1
"E02003028","E02003036",106,23,34,35,0
"E02003028","E02003037",149,21,74,49,0
"E02003028","E02003041",106,16,25,54,2
"E02003028","E02003043",774,150,316,191,2
"E02003028","E02003050",21,4,5,11,0
"E02003028","E02003094",39,3,0,26,1
"E02003028","E02003098",44,4,0,26,0
"E02003028","E02003100",103,15,0,68,0
"E02003028","E02003106",211,58,5,132,2
"E02003028","E02003107",56,9,2,41,0
"E02003028","E02006887",233,54,51,83,17
"E02003028","E02006889",21,2,2,15,1
"E02003029","E02003015",33,1,3,23,0
"E02003029","E02003019",21,0,0,19,0
"E02003029","E02003024",144,7,61,67,0
"E02003029","E02003025",35,4,3,21,0
"E02003029","E02003029",54,4,23,19,0
"E02003029","E02003030",28,1,6,19,0
"E02003029","E02003032",69,5,25,32,0
"E02003029","E02003034",32,5,1,17,0
"E02003029","E02003036",50,2,0,18,0
"E02003029","E02003040",40,1,1,28,0
"E02003029","E02003043",232,26,14,105,0
"E02003029","E02003050",22,2,1,14,0
"E02003029","E02003094",39,2,0,24,0
"E02003029","E02003098",41,2,0,34,0
"E02003029","E02003100",42,0,0,33,0
"E02003029","E02003106",160,10,6,109,0
"E02003029","E02003107",41,2,3,29,0
"E02003029","E02003108",56,4,2,40,0
"E02003029","E02003110",24,1,1,15,0
"E02003029","E02003111",30,1,9,17,1
"E02003029","E02003114",38,1,6,26,0
"E02003029","E02003115",82,3,38,32,0
"E02003029","E02003117",37,0,5,28,0
"E02003029","E02006887",105,11,5,52,0
"E02003029","E02006888",27,4,0,16,0
"E02003029","E02006889",51,3,1,38,0
"E02003029","E02006890",20,1,4,12,0
"E02003030","E02003015",45,2,0,32,0
"E02003030","E02003019",25,0,2,19,1
"E02003030","E02003023",23,0,9,10,0
"E02003030","E02003024",130,11,46,63,0
"E02003030","E02003025",112,4,40,47,1
"E02003030","E02003027",27,1,3,21,0
"E02003030","E02003030",60,5,31,17,0
"E02003030","E02003032",75,14,30,27,0
"E02003030","E02003034",76,14,10,36,0
"E02003030","E02003036",106,20,7,23,0
"E02003030","E02003037",24,3,1,14,1
"E02003030","E02003040",36,2,3,27,0
"E02003030","E02003041",26,1,0,15,1
"E02003030","E02003043",405,70,36,142,6
"E02003030","E02003046",35,1,5,26,0
"E02003030","E02003049",24,3,2,14,0
"E02003030","E02003050",37,2,1,23,0
"E02003030","E02003052",22,1,1,16,0
"E02003030","E02003054",21,2,0,18,0
"E02003030","E02003056",26,2,3,20,0
"E02003030","E02003094",31,1,0,20,0
"E02003030","E02003098",33,0,1,26,0
"E02003030","E02003100",61,0,0,53,0
"E02003030","E02003106",207,13,9,140,3
"E02003030","E02003107",42,1,0,36,0
"E02003030","E02003108",42,4,1,28,0
"E02003030","E02003110",35,3,0,18,0
"E02003030","E02003115",26,2,2,20,0
"E02003030","E02006887",246,41,25,102,3
"E02003030","E02006888",61,8,10,31,0
"E02003030","E02006889",66,6,9,37,0
"E02003030","E02006890",43,2,16,23,0
"E02003031","E02003013",20,2,2,11,0
"E02003031","E02003014",26,3,0,17,1
"E02003031","E02003015",74,18,10,38,1
"E02003031","E02003017",30,3,9,15,0
"E02003031","E02003019",38,2,4,21,7
"E02003031","E02003024",50,7,2,31,0
"E02003031","E02003025",42,11,10,21,0
"E02003031","E02003027",86,14,54,18,0
"E02003031","E02003028",58,9,27,19,0
"E02003031","E02003031",203,18,127,49,1
"E02003031","E02003032",24,9,3,10,0
"E02003031","E02003033",125,16,59,43,2
"E02003031","E02003034",177,39,88,36,1
"E02003031","E02003036",161,20,103,23,0
"E02003031","E02003037",132,26,64,31,7
"E02003031","E02003041",78,20,20,29,2
"E02003031","E02003043",1221,305,600,176,7
"E02003031","E02003046",25,1,2,19,2
"E02003031","E02003047",35,13,4,12,0
"E02003031","E02003050",38,10,3,14,0
"E02003031","E02003057",22,3,1,15,0
"E02003031","E02003064",20,3,1,13,0
"E02003031","E02003068",28,1,1,21,1
"E02003031","E02003094",58,5,5,27,0
"E02003031","E02003098",40,4,0,28,1
"E02003031","E02003100",119,23,2,63,2
"E02003031","E02003106",250,62,7,130,3
"E02003031","E02003107",62,17,5,35,0
"E02003031","E02003110",24,6,0,18,0
"E02003031","E02006887",363,70,172,69,13
"E02003031","E02006888",36,7,5,15,7
"E02003031","E02006889",48,14,4,25,2
"E02003032","E02003014",39,0,0,37,1
"E02003032","E02003015",38,2,0,28,0
"E02003032","E02003019",32,0,2,24,0
"E02003032","E02003023",20,0,5,10,0
"E02003032","E02003024",176,11,85,63,0
"E02003032","E02003025",60,2,9,37,0
"E02003032","E02003027",22,2,0,19,0
"E02003032","E02003029",32,2,17,11,0
"E02003032","E02003030",41,3,14,23,0
"E02003032","E02003031",29,2,1,17,2
"E02003032","E02003032",176,6,104,58,0
"E02003032","E02003034",58,8,1,32,0
"E02003032","E02003036",91,11,4,31,0
"E02003032","E02003037",20,1,0,10,0
"E02003032","E02003038",21,0,10,11,0
"E02003032","E02003040",57,2,10,38,0
"E02003032","E02003043",318,42,20,120,1
"E02003032","E02003046",39,6,1,25,0
"E02003032","E02003049",29,3,0,22,0
"E02003032","E02003050",31,3,1,20,0
"E02003032","E02003054",33,2,0,25,0
"E02003032","E02003094",38,3,0,25,0
"E02003032","E02003098",57,3,1,45,1
"E02003032","E02003100",61,4,0,47,0
"E02003032","E02003106",177,13,10,126,0
"E02003032","E02003107",49,3,1,37,0
"E02003032","E02003108",67,5,0,51,0
"E02003032","E02003110",28,1,0,22,0
"E02003032","E02003111",31,4,1,21,0
"E02003032","E02003114",40,3,4,29,0
"E02003032","E02003115",56,3,23,25,0
"E02003032","E02003117",45,4,7,28,0
"E02003032","E02003118",27,3,0,19,0
"E02003032","E02003121",26,2,2,16,0
"E02003032","E02006887",168,25,6,79,0
"E02003032","E02006888",44,5,4,20,0
"E02003032","E02006889",63,5,5,41,0
"E02003032","E02006890",20,1,2,16,0
"E02003033","E02003014",22,2,0,13,1
"E02003033","E02003015",65,13,3,38,0
"E02003033","E02003017",29,6,5,13,0
"E02003033","E02003019",20,5,2,11,1
"E02003033","E02003026",47,12,10,21,0
