station_european_code,station_local_code,country_iso_code,country_name,station_name,station_start_date,station_end_date,type_of_station,station_ozone_classification,station_type_of_area,station_subcat_rural_back,street_type,station_longitude_deg,station_latitude_deg,station_altitude,station_city,lau_level1_code,lau_level2_code,lau_level2_name,EMEP_station,NO2
DEUB029,DEUB029,DE,Germany,Schmücke,1991-06-01,,Background,rural,rural,unknown,,10.769533,50.654068,937,GEHLBERG,,,,yes,4.390458645846876
DESN074,DESN074,DE,Germany,Schwartenberg,1998-02-06,,Background,rural,rural,regional,,13.465077,50.6591,785,NEUHAUSEN,,14522400,Neuhausen/Erzgeb.,no,7.68523284266574
DEBW031,DEBW031,DE,Germany,Schwarzwald-Süd,1984-01-01,,Background,rural,rural,regional,,7.764528,47.809892,904,,83155012,,"Sulzburg, Stadt",no,3.4389926002665256
DEBW087,DEBW087,DE,Germany,Schwäbische_Alb,1994-04-27,,Background,rural,rural,regional,,9.207639,48.345778,798,ERPFINGEN,,8415091,Sonnenbühl,no,6.540338979727645
DENW064,DENW064,DE,Germany,Simmerath (Eifel),1983-09-01,,Background,rural,rural,regional,,6.28107,50.653236,572,SIMMERATH,,5334028,Simmerath,no,5.509009866414982
DENW068,DENW068,DE,Germany,Soest-Ost,1989-03-01,,Background,rural,rural,near city,,8.148061,51.57066,110,SOEST,,5974040,"Soest, Stadt",no,12.670414585555143
DENI077,DENI077,DE,Germany,Solling-Süd,2010-01-01,,Background,rural,rural,unknown,,9.55462,51.708839,295,,31559501,,"Solling (Landkreis Northeim), gemfr. Geb.",no,8.40113799392387
DEHE026,DEHE026,DE,Germany,Spessart,1986-01-01,,Background,rural,rural,regional,,9.399442,50.164433,502,SPESSART,,6435016,Jossgrund,no,7.538232128849274
DEBB066,DEBB066,DE,Germany,Spreewald,2003-04-17,,Background,rural,rural,regional,,14.057064,51.897598,52,,120615113,,Neu Zauche,no,6.242489303806773
DEBY072,DEBY072,DE,Germany,Tiefenbach/Altenschneeberg,1983-10-01,,Background,rural,rural,regional,,12.54887,49.438465,755,TIEFENBACH,93725308,,Tiefenbach,no,6.55314033706656
DEST098,DEST098,DE,Germany,Unterharz / Friedrichsbrunn,2003-06-24,,Background,rural,rural,regional,,11.043384,51.662453,410,,,,,no,4.3249722250585805
DEUB005,DEUB005,DE,Germany,Waldhof,1970-01-01,,Background,rural,rural,unknown,,10.756733,52.800774,74,ZELLA-MEHLIS,33605402,,Lüder,yes,6.637390724799518
DEHE051,DEHE051,DE,Germany,Wasserkuppe,2000-07-05,,Background,rural,rural,unknown,,9.935862,50.497711,931,WASSERKUPPE,,6631010,"Gersfeld (Rhön), Stadt",no,5.258516400704886
DENI060,DENI060,DE,Germany,Wendland,1998-04-01,,Background,rural,rural,unknown,,11.16705,52.95702,16,,33545407,,"Lüchow (Wendland), Stadt",no,9.88399812585395
DERP015,DERP015,DE,Germany,Westeifel Wascheid,1984-01-01,,Background,rural,rural,unknown,,6.3781,50.2665,680,WASCHEID,72325006,,Gondenbrett,no,5.270283853346025
DEUB001,DEUB001,DE,Germany,Westerland,1968-01-01,,Background,rural,rural,unknown,,8.308208,54.924969,12,WESTERLAND,,1054168,Sylt,yes,5.123743401705111
DERP016,DERP016,DE,Germany,Westerwald-Herdorf,1984-01-01,,Background,rural,rural,unknown,,7.9735,50.76675,480,HERDORF,,7132050,"Herdorf, Stadt",no,7.5608887467047445
DERP028,DERP028,DE,Germany,Westerwald-Neuhäusel,1994-01-01,,Background,rural,rural,unknown,,7.7299,50.4243,546,NEUSTADT,71435004,,"Montabaur, Stadt",no,8.176328171592356
DERP013,DERP013,DE,Germany,Westpfalz-Waldmohr,1984-01-01,,Background,rural,rural,unknown,,7.293522,49.423138,455,DUNZWEILER,73365006,,Dunzweiler,no,7.241496239470168
DEHE024,DEHE024,DE,Germany,Witzenhausen/Wald,1983-05-01,,Background,rural,rural,unknown,,9.774589,51.291759,610,WITZENHAUSEN/WALD,66369200,,"Gutsbezirk Kaufunger Wald, gemfr. Gebiet",no,6.34763255724478
DENI051,DENI051,DE,Germany,Wurmberg,1991-06-06,,Background,rural,rural,unknown,,10.612481,51.758163,939,,,3153003,"Braunlage, Stadt",no,5.652281144348398
DEST089,DEST089,DE,Germany,Zartau/Waldstation,1997-12-01,,Background,rural,rural,regional,,11.17235,52.59317,95,BITTERFELD,,,,no,6.349581619662699
DEHE050,DEHE050,DE,Germany,Zierenberg,2000-05-01,,Background,rural,rural,unknown,,9.271233,51.360752,489,ZIERENBERG,,6633029,"Zierenberg, Stadt",no,8.549351783351376
DEUB028,DEUB028,DE,Germany,Zingst,1991-09-01,,Background,rural,rural,unknown,,12.721938,54.436989,1,ZINGST,,13057096,Zingst,yes,5.197794008346108
DESN052,DESN052,DE,Germany,Zinnwald,1978-05-01,,Background,rural,rural,regional,,13.75145,50.731476,877,ZINNWALD,146285201,,"Altenberg, Stadt",no,6.719808983782324
